,City_name,Lat,Lng,Max_temp,Humidity,Cloudiness,Wind_Speed,Country,Date
284,Balikpapan,-1.2675,116.8289,76.71,85,82,4.25,ID,1619300996
285,Spassk-Ryazanskiy,54.4072,40.3806,37.0,97,70,13.8,RU,1619300996
286,Kununurra,-15.7667,128.7333,57.2,82,15,1.14,AU,1619300997
287,Bushehr,28.9684,50.8385,79.34,51,73,6.58,IR,1619300997
288,Walvis Bay,-22.9575,14.5053,61.0,88,0,6.91,NA,1619300997
289,Kokopo,-4.352,152.2633,80.78,74,45,2.68,PG,1619300998
290,Hede,33.7681,120.2517,56.23,93,100,11.81,CN,1619300998
291,Kahramanmaraş Province,38.0,37.0,64.4,45,40,4.61,TR,1619301001
292,Dubăsari,47.2631,29.1608,46.4,66,0,4.61,MD,1619301001
293,Ciudad Juárez,31.7333,-106.4833,82.4,11,1,13.8,MX,1619300980
294,Korla,41.7597,86.1469,44.83,38,1,19.1,CN,1619301002
295,Port Blair,11.6667,92.75,81.1,73,7,4.21,IN,1619301002
296,Anadyr,64.75,177.4833,32.0,93,40,6.71,RU,1619301003
297,Simav,39.0882,28.9777,51.85,94,100,3.42,TR,1619301003
298,Moranbah,-22.0016,148.0466,67.14,76,100,15.95,AU,1619301004
299,Veshkayma,54.05,47.1333,37.72,84,79,13.89,RU,1619301004
300,Yuancheng,36.652,107.7896,46.27,92,100,4.85,CN,1619301004
301,Grand-Lahou,5.1367,-5.0242,82.51,82,31,10.71,CI,1619301005
302,Nome,64.5011,-165.4064,44.6,53,1,1.92,US,1619301005
303,Adrar,20.5022,-10.0711,83.3,10,42,10.87,MR,1619301007
304,Cabo San Lucas,22.8909,-109.9124,80.01,31,1,11.5,MX,1619300957
305,Nola,40.922,14.5329,55.4,67,0,2.3,IT,1619301009
306,Bay Roberts,47.5999,-53.2648,45.0,71,55,1.99,CA,1619301009
307,Kailua,21.4022,-157.7394,82.4,65,40,14.97,US,1619301009
308,Sangar,63.9242,127.4739,21.97,90,100,1.59,RU,1619301010
309,Qūchān,37.106,58.5095,57.92,53,58,9.42,IR,1619301010
310,Takoradze,4.8845,-1.7554,81.43,82,77,7.52,GH,1619301011
311,Kiryat Gat,31.61,34.7642,64.99,100,14,4.68,IL,1619301004
312,Khani,41.9563,42.9566,46.4,93,0,2.3,GE,1619301012
313,San Patricio,28.017,-97.5169,96.8,11,1,14.97,US,1619301013
314,Lianzhou,24.7811,112.3825,64.65,93,100,5.23,CN,1619301013
315,Bijie,27.3125,105.2942,60.19,93,100,3.36,CN,1619301014
316,Quatre Cocos,-20.2078,57.7625,79.0,94,75,18.41,MU,1619301015
317,Kahului,20.8947,-156.47,80.6,65,40,21.85,US,1619301016
318,Woodward,36.4337,-99.3904,69.8,28,1,3.44,US,1619301017
319,Leeton,-34.5667,146.4,37.4,93,28,3.89,AU,1619301018
320,Barcelos,41.5388,-8.6151,60.8,94,40,6.91,PT,1619300753
321,Belmonte,-15.8631,-38.8828,78.8,78,20,10.36,BR,1619301018
322,Port-Gentil,-0.7193,8.7815,80.6,89,20,5.75,GA,1619301019
323,Zhangaözen,43.3,52.8,62.31,31,3,9.71,KZ,1619301019
324,George Town,5.4112,100.3354,82.0,83,20,6.91,MY,1619300915
325,Meulaboh,4.1363,96.1285,75.09,87,99,3.91,ID,1619301020
326,Nanortalik,60.1432,-45.2371,41.88,75,100,13.96,GL,1619301020
327,Naze,28.3667,129.4833,69.8,68,75,18.41,JP,1619301021
328,Pilar do Sul,-23.8131,-47.7164,63.61,84,2,3.65,BR,1619301021
329,Mareeba,-17.0,145.4333,73.4,100,90,5.75,AU,1619301022
330,Nelson Bay,-32.7167,152.15,55.0,93,0,10.36,AU,1619301022
331,Ngunguru,-35.6167,174.5,63.0,84,9,8.68,NZ,1619301022
332,Tessalit,20.1986,1.0114,90.21,6,0,7.76,ML,1619301023
333,Sciacca,37.5082,13.0881,53.01,81,1,10.0,IT,1619301023
334,Porto-Novo,6.4965,2.6036,86.0,74,20,11.5,BJ,1619301024
335,Banyo,6.75,11.8167,66.15,94,100,0.2,CM,1619301024
336,Rio Grande,-32.035,-52.0986,66.99,90,100,4.07,BR,1619301024
337,Panama City,8.9936,-79.5197,88.0,83,40,4.61,PA,1619300977
338,Bandarbeyla,9.4942,50.8122,82.78,77,74,5.66,SO,1619301025
339,College,64.8569,-147.8028,59.0,24,20,1.43,US,1619301025
340,Ipixuna,-1.7625,-48.8043,77.0,94,90,3.44,BR,1619301026
341,Ola,59.5833,151.2833,19.06,62,100,15.14,RU,1619301026
342,Berlevåg,70.8578,29.0864,33.84,70,99,13.87,NO,1619301026
343,Lahaina,20.8783,-156.6825,80.6,65,40,21.85,US,1619301027
344,Arman',59.7,150.1667,19.27,64,100,12.66,RU,1619301027
345,Manakara,-22.1333,48.0167,69.76,93,41,4.09,MG,1619301029
346,Grand Forks,47.9417,-97.4337,46.99,18,40,3.44,US,1619301029
347,Imbituba,-28.24,-48.6703,71.6,83,40,4.61,BR,1619301030
348,Nacala,-14.5428,40.6728,73.06,96,99,8.21,MZ,1619301030
349,Mount Gambier,-37.8333,140.7667,51.8,100,75,6.91,AU,1619301030
350,Manokwari,-0.8667,134.0833,75.85,91,100,4.27,ID,1619301031
351,Nador,35.174,-2.9287,60.8,94,90,9.22,MA,1619301031
352,Havelock,34.8791,-76.9013,68.0,77,90,8.05,US,1619300757
353,Shiyan,32.6475,110.7781,53.33,93,100,0.36,CN,1619301032
354,Saurimo,-9.6608,20.3916,64.99,91,95,2.06,AO,1619301032
355,Tilichiki,60.4667,166.1,28.0,96,100,2.04,RU,1619301032
356,Tautira,-17.7333,-149.15,86.0,66,75,10.36,PF,1619301033
357,Camaná,-16.6228,-72.7111,69.22,76,22,7.56,PE,1619301033
358,San Isidro,-12.1167,-77.05,68.0,77,40,9.22,PE,1619301034
359,Touros,-5.1989,-35.4608,78.8,83,20,6.91,BR,1619301034
360,Tūkrah,32.5341,20.5791,61.25,82,56,16.96,LY,1619301034
361,Tamale,9.4008,-0.8393,80.82,68,88,16.69,GH,1619301035
362,Beira,-19.8436,34.8389,71.6,88,0,8.66,MZ,1619301035
363,Katherine,-14.4667,132.2667,57.2,67,98,6.91,AU,1619301036
364,Cazzago San Martino,45.5938,10.0419,57.99,60,39,2.06,IT,1619301036
365,Celestún,20.8667,-90.4,85.62,65,54,13.56,MX,1619301036
366,Vao,-22.6667,167.4833,75.96,68,100,13.0,NC,1619300765
367,Yeniseysk,58.4497,92.1703,32.56,99,100,3.42,RU,1619301038
368,Nizwá,22.9333,57.5333,78.89,23,12,2.19,OM,1619301039
369,Morón,-34.6534,-58.6198,69.01,73,0,3.0,AR,1619300742
370,Luganville,-15.5333,167.1667,82.53,81,70,10.49,VU,1619301040
371,Ust-Nera,64.5667,143.2,7.7,91,27,3.42,RU,1619301040
372,Shawnee,39.05,-95.7669,66.2,42,1,3.44,US,1619300980
373,Saint-François,46.4154,3.9054,55.0,66,0,2.3,FR,1619301041
374,Castro Alves,-12.7656,-39.4283,73.08,88,24,5.64,BR,1619301041
375,Keetmanshoop,-26.5833,18.1333,73.4,21,4,8.05,NA,1619301042
376,Suntar,62.1444,117.6319,33.85,89,100,3.83,RU,1619301042
377,Gua Musang,4.8823,101.9644,73.22,97,98,1.07,MY,1619301042
378,Suslovo,56.2167,88.1167,34.3,98,100,6.87,RU,1619301043
379,Laguna,38.421,-121.4238,71.01,34,90,9.22,US,1619301043
380,Marabu,4.4148,114.0089,77.0,100,20,3.44,MY,1619300776
381,Ginir,7.1333,40.7,57.85,89,80,3.31,ET,1619301044
382,Nemuro,43.3236,145.575,36.16,92,100,11.41,JP,1619301044
383,Khorixas,-20.3667,14.9667,70.48,43,30,4.16,NA,1619301045
384,Sitniki,56.4553,44.0666,39.2,93,90,15.66,RU,1619301045
385,San Borja,-14.8167,-66.85,76.37,94,67,4.72,BO,1619301045
386,Touba,8.2833,-7.6833,72.28,93,83,2.1,CI,1619301046
387,Bubaque,11.2833,-15.8333,78.66,65,7,21.12,GW,1619301046
388,Irinjālakuda,10.3333,76.2333,78.8,89,75,2.3,IN,1619301047
389,Kalabo,-14.97,22.6814,67.23,53,57,5.46,ZM,1619301047
390,San Ramon,37.7799,-121.978,68.0,34,75,13.8,US,1619300813
391,Juneau,58.3019,-134.4197,60.8,18,20,13.8,US,1619300943
392,Sur,22.5667,59.5289,84.88,38,1,12.33,OM,1619301048
393,Bisira,8.5196,-81.7115,66.74,78,94,5.08,PA,1619301048
394,Buchanan,5.8808,-10.0467,81.5,82,68,7.61,LR,1619301050
395,Atbasar,51.8,68.3333,44.11,43,100,14.16,KZ,1619301050
396,Narsaq,60.9167,-46.05,57.2,28,75,19.57,GL,1619301050
397,Beringovskiy,63.05,179.3167,31.64,92,100,5.35,RU,1619301051
398,Ilulissat,69.2167,-51.1,46.4,49,40,17.27,GL,1619301051
399,Chu,43.5983,73.7614,45.66,40,98,4.83,KZ,1619300768
400,Mt. Pleasant,32.7941,-79.8626,66.2,100,1,5.75,US,1619301052
401,Saint-Louis,16.3333,-15.0,89.6,31,0,6.91,SN,1619301052
402,Selma,36.5708,-119.6121,75.99,21,75,3.44,US,1619301005
403,Tacoronte,28.4769,-16.4102,66.99,82,75,14.97,ES,1619301053
404,Ruwi,23.5996,58.5507,84.02,51,1,3.38,OM,1619301053
405,Metro,-5.1131,105.3067,73.92,88,69,5.7,ID,1619301054
406,Caçu,-18.5567,-51.1308,72.91,37,9,4.23,BR,1619301054
407,Jaumave,23.4167,-99.3833,98.01,12,40,10.36,MX,1619301054
408,Cuamba,-14.8031,36.5372,66.13,89,52,1.61,MZ,1619301055
409,Susanville,40.4163,-120.653,51.8,43,75,17.27,US,1619301055
410,Kota Belud,6.351,116.4305,77.0,83,20,5.75,MY,1619301056
411,Coyhaique,-45.5752,-72.0662,53.6,71,75,6.91,CL,1619301056
412,Alyangula,-13.8483,136.4192,69.8,100,75,10.71,AU,1619301056
413,Mitsamiouli,-11.3847,43.2844,80.46,76,73,10.45,KM,1619301057
414,Beloha,-25.1667,45.05,73.02,64,4,9.89,MG,1619301057
415,Kawalu,-7.3817,108.2082,69.98,96,73,1.77,ID,1619301057
416,Petrinja,45.4375,16.29,53.01,71,0,3.24,HR,1619301058
417,Paragominas,-2.9667,-47.4833,74.23,96,99,3.27,BR,1619301058
418,Vanimo,-2.6741,141.3028,78.1,86,97,2.66,PG,1619301059
419,Vardø,70.3705,31.1107,34.61,79,100,22.19,NO,1619301059
420,Camacupa,-12.0167,17.4833,63.59,79,82,3.44,AO,1619301059
421,Pocatello,42.8713,-112.4455,59.0,38,20,11.5,US,1619301060
422,Onalaska,43.8844,-91.2351,50.0,62,75,17.27,US,1619301060
423,Ca Mau,9.1769,105.15,78.64,85,55,4.07,VN,1619301062
424,Ekenäs,59.9736,23.4339,35.01,79,100,3.0,FI,1619301062
425,Meadow Lake,34.8014,-106.5436,78.01,14,1,12.06,US,1619301063
426,Flinders,-34.5833,150.8552,59.0,87,0,1.01,AU,1619301063
427,Graham,47.0529,-122.2943,48.99,93,40,6.91,US,1619301063
428,Sirte,31.2089,16.5887,62.24,79,5,16.78,LY,1619301064
429,Ji’an,27.1172,114.9793,62.8,89,100,13.2,CN,1619301064
430,Margate,51.3813,1.3862,48.0,73,63,5.99,GB,1619301065
431,Irpa Irpa,-17.7167,-66.2667,75.2,27,40,11.5,BO,1619301065
432,Davydivka,48.121,25.5646,42.01,77,75,4.81,UA,1619301067
433,Mount Isa,-20.7333,139.5,69.8,56,6,6.91,AU,1619301068
434,Borgustanskaya,44.0547,42.5288,53.6,71,75,6.71,RU,1619301069
435,Trat,12.5,102.5,79.0,99,30,1.39,TH,1619301069
436,Glens Falls,43.3095,-73.644,66.2,22,1,9.22,US,1619301070
437,Ilhabela,-23.7781,-45.3581,71.24,85,29,2.71,BR,1619301070
438,Danilov,58.1908,40.1717,46.06,88,100,12.01,RU,1619301070
439,San Lorenzo,-25.3333,-57.5333,68.0,94,75,6.91,PY,1619301071
440,Marrakesh,31.6315,-8.0083,64.4,59,75,8.05,MA,1619301003
441,Sistranda,63.7256,8.834,35.6,87,75,6.91,NO,1619301073
442,Seoul,37.5683,126.9778,57.2,87,0,3.44,KR,1619300942
443,Melita,49.2681,-100.9967,46.0,29,100,8.01,CA,1619301073
444,Pundaguitan,6.3711,126.1689,82.27,75,100,12.08,PH,1619301074
445,Lokosovo,61.1333,74.8167,34.21,99,100,2.75,RU,1619301074
446,Sumbal,34.2333,74.6333,43.75,45,64,3.56,IN,1619301074
447,Albert Lea,43.648,-93.3683,48.2,46,40,11.5,US,1619301075
448,Luanda,-8.8368,13.2343,77.0,88,20,4.43,AO,1619300980
449,Fortuna,40.5982,-124.1573,59.0,58,20,10.36,US,1619301077
450,Río Gallegos,-51.6226,-69.2181,57.2,47,0,3.44,AR,1619301077
451,Leh,34.1667,77.5833,25.02,32,2,4.43,IN,1619301077
452,Östersund,63.1792,14.6357,30.2,64,47,11.5,SE,1619301078
453,Saquarema,-22.92,-42.5103,77.0,88,75,6.91,BR,1619301057
454,Kapit,2.0167,112.9333,71.92,99,60,1.12,MY,1619301078
455,Redmond,47.674,-122.1215,48.99,94,100,5.59,US,1619300912
456,Villanueva,15.3167,-88.0,96.8,36,20,11.5,HN,1619301064
457,Vila Velha,-20.3297,-40.2925,77.0,73,20,3.44,BR,1619301079
458,Upington,-28.4478,21.2561,68.0,26,0,5.75,ZA,1619301079
459,Palmer,42.1584,-72.3287,71.6,19,75,10.36,US,1619301080
460,Honiara,-9.4333,159.95,83.59,73,71,1.97,SB,1619300795
461,Bourail,-21.5667,165.4833,74.59,84,100,7.78,NC,1619301080
462,Keti Bandar,24.1447,67.4497,81.32,74,0,17.36,PK,1619301081
463,San Cristobal,7.7669,-72.225,87.8,62,40,18.41,VE,1619301081
464,Wanning,18.8003,110.3967,77.41,92,44,8.48,CN,1619301082
465,Novy Urengoy,66.0833,76.6333,29.91,89,100,5.97,RU,1619301082
466,Angoche,-16.2325,39.9086,76.98,78,89,5.61,MZ,1619301082
467,Seminole,28.7086,-81.2081,88.0,48,40,13.8,US,1619301083
468,Hualmay,-11.0964,-77.6139,69.82,78,8,9.82,PE,1619301083
469,Darhan,49.4867,105.9228,41.27,92,100,4.92,MN,1619301084
470,Tumaco,1.7986,-78.8156,80.82,79,35,7.38,CO,1619301084
471,Salinas,36.6777,-121.6555,62.6,51,1,14.97,US,1619301084
472,Mossamedes,-15.1961,12.1522,77.99,78,8,2.08,AO,1619301085
473,Bria,6.5423,21.9863,71.42,89,98,1.68,CF,1619301085
474,Kirakira,-10.4544,161.9205,82.13,77,99,4.12,SB,1619301085
475,Leirvik,59.7798,5.5005,39.0,54,2,3.0,NO,1619301086
476,Ende,-8.8432,121.6623,75.81,87,4,1.72,ID,1619301087
477,Agirish,61.9247,63.0231,42.33,91,100,2.33,RU,1619301088
478,Praia,14.9215,-23.5087,71.6,68,20,17.27,CV,1619301088
479,Sibolga,1.7427,98.7792,75.45,86,100,2.62,ID,1619301089
480,Ürümqi,43.801,87.6005,33.8,55,0,6.71,CN,1619301089
481,São João da Barra,-21.6403,-41.0511,77.0,73,0,7.23,BR,1619301089
482,Praia da Vitória,38.7333,-27.0667,59.0,88,75,27.0,PT,1619301090
483,Feijó,-8.1642,-70.3536,78.84,94,80,0.69,BR,1619301090
484,Atwater,37.3477,-120.6091,73.4,28,1,5.75,US,1619301090
485,Oussouye,12.485,-16.5469,77.0,88,0,4.61,SN,1619301091
486,Sabha,27.0377,14.4283,74.16,31,2,18.99,LY,1619301091
487,Marsá Maţrūḩ,31.3525,27.2453,64.4,63,0,9.22,EG,1619301092
488,Brae,60.3964,-1.353,42.8,75,20,8.05,GB,1619301092
489,Fairbanks,64.8378,-147.7164,59.0,26,1,5.75,US,1619301092
490,Turka,49.1541,23.0297,39.99,75,87,4.25,UA,1619301093
491,Ancud,-41.8697,-73.8203,57.99,88,75,6.91,CL,1619301093
492,Urengoy,65.9667,78.3667,30.67,92,100,6.58,RU,1619301094
493,San Quintín,30.4833,-115.95,63.61,67,59,17.0,MX,1619301094
494,Chicama,-7.8447,-79.1469,66.2,82,20,17.27,PE,1619301094
495,Madimba,-10.4,40.3333,75.09,92,100,7.63,TZ,1619301095
496,Piaçabuçu,-10.4056,-36.4344,78.57,80,72,6.87,BR,1619301096
497,Isangel,-19.55,169.2667,80.6,83,75,12.86,VU,1619301097
498,Bougouni,11.417,-7.479,90.59,28,6,2.24,ML,1619301097
499,Dvinskoy,62.1535,45.1175,43.68,83,27,8.61,RU,1619301097
500,Pierre,44.3683,-100.351,55.99,37,1,9.22,US,1619300892
501,Assiut,27.181,31.1837,71.6,49,0,9.22,EG,1619301098
502,Jacareacanga,-6.2222,-57.7528,80.56,81,100,2.19,BR,1619301098
503,Berbérati,4.2612,15.7922,68.65,93,60,2.35,CF,1619301099
504,Manga,11.6636,-1.0731,92.53,32,55,8.28,BF,1619301099
505,Yongzhou,26.4559,111.5988,59.22,90,100,4.59,CN,1619301100
506,Loikaw,19.6742,97.2094,73.15,73,97,2.46,MM,1619301100
507,Guantánamo,20.1444,-75.2092,86.0,66,40,12.66,CU,1619301101
508,Flin Flon,54.7682,-101.865,28.4,40,75,6.91,CA,1619301101
509,Camocim,-2.9022,-40.8411,77.27,91,100,10.16,BR,1619301101
510,Altamont,42.2068,-121.7372,50.0,66,40,13.8,US,1619301102
511,Mahon,39.8885,4.2658,57.2,94,20,10.36,ES,1619301102
512,Port Macquarie,-31.4333,152.9167,55.99,82,0,3.0,AU,1619301103
513,Magistral'nyy,56.1725,107.4458,32.99,99,100,2.51,RU,1619301103
514,Oddur,4.1213,43.8894,76.84,69,94,10.83,SO,1619301103
515,Bicester,51.9,-1.1536,51.8,50,0,10.36,GB,1619300907
516,Aasiaat,68.7098,-52.8699,34.02,82,8,13.78,GL,1619301104
517,Fuxin,42.0156,121.6589,43.61,46,39,4.85,CN,1619301104
518,Karratha,-20.7377,116.8463,77.0,34,0,7.83,AU,1619301105
519,Smirnykh,49.75,142.8333,31.78,72,100,6.85,RU,1619301105
520,Cap Malheureux,-19.9842,57.6142,79.0,80,100,8.99,MU,1619301105
521,Vanavara,60.34,102.2797,30.24,97,100,1.68,RU,1619301106
522,Itoman,26.1247,127.6694,68.0,83,20,11.5,JP,1619301107
523,Pangkalanbuun,-2.6833,111.6167,73.78,92,82,2.08,ID,1619301108
524,Boddam,57.4667,-1.7833,41.0,87,61,3.44,GB,1619301108
525,Placerville,38.7296,-120.7986,68.0,31,75,5.75,US,1619301109
526,Kushmurun,52.4503,64.6311,47.28,46,85,14.0,KZ,1619301109
527,Manaquiri,-3.3167,-60.35,84.2,79,20,2.3,BR,1619301109
528,Deputatsky,69.3,139.9,13.53,86,100,3.87,RU,1619301110
529,Goderich,43.7501,-81.7165,59.0,36,100,3.44,CA,1619301110
530,Podlesnoye,51.8161,47.009,43.21,79,11,14.65,RU,1619301110
531,Lompoc,34.6391,-120.4579,60.01,67,92,19.57,US,1619301111
532,Bibiani,6.4635,-2.3194,73.56,97,81,2.1,GH,1619301111
533,Talnakh,69.4865,88.3972,20.37,94,100,14.38,RU,1619301112
534,Lata,40.1629,-8.3327,62.01,89,78,3.53,PT,1619301112
535,Aksarka,66.5606,67.7975,32.18,85,100,6.98,RU,1619301112
536,Esperance,-33.8667,121.9,55.4,88,38,16.11,AU,1619301113
537,Kodinsk,58.6881,99.1844,33.03,99,100,1.86,RU,1619301113
538,Saravan,39.7196,45.6483,59.0,63,20,9.22,AM,1619301114
539,Vilyuysk,63.7553,121.6247,31.41,95,100,5.14,RU,1619301114
540,Galich,58.3797,42.3475,44.01,87,99,12.57,RU,1619301115
541,Buraidah,26.326,43.975,80.6,19,0,6.91,SA,1619301116
542,Shenjiamen,29.9576,122.298,60.91,88,100,7.99,CN,1619301116
543,Carbondale,37.7273,-89.2168,57.2,88,90,12.66,US,1619301117
544,Gouyave,12.1646,-61.7296,84.2,65,20,26.46,GD,1619301117
545,Fraga,41.5229,0.3489,57.99,87,0,2.3,ES,1619301117
546,Malinovoye Ozero,51.6753,79.7825,35.92,49,1,4.14,RU,1619301118
547,Māgadi,12.9667,77.2333,71.6,83,20,6.22,IN,1619301118
548,Seryshevo,51.0933,128.3786,34.7,38,0,12.17,RU,1619301119
549,Port-Cartier,50.0334,-66.8654,50.0,43,75,16.11,CA,1619301119
550,Horta,38.5333,-28.6333,58.86,76,97,21.5,PT,1619300899
551,Tanete,-3.9443,119.7848,73.06,95,43,3.62,ID,1619301120
552,Nuuk,64.1835,-51.7216,41.0,65,20,2.75,GL,1619301120
553,Tari,12.4086,4.4914,86.07,40,99,5.23,NG,1619301121
554,Cayenne,4.9333,-52.3333,79.0,89,90,2.3,GF,1619301121
555,Namie,37.4833,141.0,55.0,73,92,5.26,JP,1619301121
556,Kautokeino,69.0125,23.0412,20.43,86,100,9.64,NO,1619301122
557,Ambulu,-8.345,113.6058,73.31,87,3,2.75,ID,1619301122
558,Valentín Gómez Farías,28.2167,-106.5833,75.99,6,0,1.01,MX,1619301122
559,Lodja,-3.4833,23.4333,68.95,92,97,1.77,CD,1619301124
560,Preslav,43.1667,26.8167,51.01,59,94,3.15,BG,1619301124
561,Gladstone,-23.85,151.25,68.0,68,45,5.75,AU,1619301125
562,Manono,-7.3,27.4167,69.51,93,96,0.29,CD,1619301125
563,Bengkulu,-3.8004,102.2655,74.84,88,85,3.78,ID,1619301126
564,Tomatlán,19.9333,-105.25,90.75,28,87,10.74,MX,1619301126
565,Hauterive,46.0901,3.4459,62.6,42,0,3.44,FR,1619301126
566,Chivay,-15.6383,-71.6011,50.52,59,15,10.98,PE,1619301127
567,Kendrapara,20.5042,86.416,80.6,94,40,4.61,IN,1619301127
568,Bonga,7.2833,36.2333,60.33,98,92,1.77,ET,1619301127
569,Boende,-0.2167,20.8667,70.9,95,64,3.29,CD,1619301128
570,Leninsk,48.7119,45.1994,41.0,87,0,6.71,RU,1619301128
571,Vallenar,-28.5708,-70.7581,68.59,51,0,5.19,CL,1619301129
